City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iskateley,67.6803,53.1512,25.02,94,100,11.99,RU,1715528161
84,guerrero negro,27.9769,-114.0611,62.8,72,100,13.09,MX,1715528174
85,ta`u,-14.2336,-169.5144,82.69,77,89,15.73,AS,1715528162
86,belyy yar,53.6039,91.3903,51.69,76,0,2.24,RU,1715528222
87,fianarantsoa,-21.4333,47.0833,58.42,98,8,3.87,MG,1715528222
88,malanje,-9.5402,16.341,77.56,45,51,2.8,AO,1715528223
89,miracema do tocantins,-9.5618,-48.3967,94.06,31,3,4.14,BR,1715528223
90,codrington,-38.2667,141.9667,50.38,95,45,8.08,AU,1715528149
91,badger,64.8,-147.5333,44.08,66,100,0.0,US,1715528080
92,wainwright,52.839,-110.8572,55.78,46,91,9.46,CA,1715528223
93,beledweyne,4.7358,45.2036,90.27,50,67,8.14,SO,1715528223
94,forster,-32.1667,152.5167,52.29,100,16,7.72,AU,1715528172
95,labrador city,52.9463,-66.9114,57.11,30,75,6.91,CA,1715528172
96,igreja,15.0333,-24.3333,71.76,63,10,15.86,CV,1715528223
97,labuan,5.2767,115.2417,82.76,94,20,0.0,MY,1715528223
98,ushuaia,-54.8,-68.3,40.66,60,20,26.46,AR,1715528141
99,ouesso,1.6136,16.0517,83.12,74,96,0.98,CG,1715528223
100,dompu,-8.5356,118.4622,73.76,98,14,2.19,ID,1715528223
101,villa berthet,-27.2917,-60.4126,57.94,93,100,6.98,AR,1715528223
102,tarnogskiy gorodok,60.4997,43.5761,33.89,87,97,7.65,RU,1715528223
103,bilara,26.1792,73.7056,96.17,18,3,8.19,IN,1715528224
104,avarua,-21.2078,-159.775,73.45,88,100,4.61,CK,1715528143
105,tingo maria,-9.2895,-76.0088,83.77,63,84,1.9,PE,1715528224
106,ugoofaaru,5.6667,73.0,86.5,72,97,8.63,MV,1715528224
107,longyearbyen,78.2186,15.6401,35.44,69,75,2.3,SJ,1715528158
108,klyuchi,52.2667,79.1667,58.66,34,0,0.63,RU,1715528143
109,invercargill,-46.4,168.35,49.01,93,98,4.54,NZ,1715528144
110,sao joao da barra,-21.6403,-41.0511,93.29,73,2,8.77,BR,1715528163
111,izberbash,42.5696,47.8645,64.45,76,100,3.4,RU,1715528224
112,swift current,50.2834,-107.8014,59.81,25,0,4.61,CA,1715528102
113,akjoujt,19.6969,-14.4164,107.78,10,100,13.78,MR,1715528224
114,mana,5.6592,-53.7767,85.06,67,76,10.16,GF,1715528150
115,keflavik,64.0049,-22.5624,51.71,81,75,9.22,IS,1715528156
116,longmen,24.9597,118.0889,77.61,95,100,2.21,CN,1715528224
117,tinajo,29.0788,-13.7081,74.28,53,40,26.46,ES,1715528224
118,broken hill,-31.95,141.4333,56.35,77,37,7.99,AU,1715528224
119,port elizabeth,-33.918,25.5701,63.1,82,20,11.5,ZA,1715527921
120,broome,42.2506,-75.833,50.2,87,100,10.36,US,1715528159
121,nemuro,43.3236,145.575,46.74,98,100,21.45,JP,1715528152
122,rongelap,11.1635,166.8941,80.8,82,92,20.96,MH,1715528142
123,hawaiian paradise park,19.5933,-154.9731,69.03,98,75,3.44,US,1715528148
124,egilsstadir,65.2653,-14.3948,55.31,50,75,17.27,IS,1715528144
125,changli,39.7042,119.1506,63.1,38,0,0.74,CN,1715528148
126,sao felix do xingu,-6.6447,-51.995,91.78,37,25,5.14,BR,1715528179
127,dipayal,29.2608,80.94,71.11,89,81,2.48,NP,1715528225
128,nuuk,64.1835,-51.7216,34.41,86,20,17.27,GL,1715528225
129,yanchep,-31.55,115.6833,70.02,67,100,10.63,AU,1715528225
130,susuman,62.7833,148.1667,31.98,84,100,8.01,RU,1715528168
131,zuni pueblo,35.0725,-108.8506,50.63,37,40,15.39,US,1715527938
132,east london,-33.0153,27.9116,63.54,82,0,8.05,ZA,1715528158
133,paita,-5.0892,-81.1144,70.27,75,100,10.71,PE,1715528225
134,phek,25.6667,94.5,62.15,91,47,0.89,IN,1715528225
